"tBodyAcc-mean()-X",0.273995840740414
"tBodyAcc-mean()-Y",-0.0178634002668453
"tBodyAcc-mean()-Z",-0.108386200206006
"tBodyAcc-std()-X",-0.613634902884459
"tBodyAcc-std()-Y",-0.508329846887119
"tBodyAcc-std()-Z",-0.633797111077676
"tGravityAcc-mean()-X",0.681960209973532
"tGravityAcc-mean()-Y",-0.0133426880797622
"tGravityAcc-mean()-Z",0.0877366326193237
"tGravityAcc-std()-X",-0.966914858384798
"tGravityAcc-std()-Y",-0.956214986723108
"tGravityAcc-std()-Z",-0.943820796502545
"tBodyAccJerk-mean()-X",0.0784697125150543
"tBodyAccJerk-mean()-Y",0.00643293275476926
"tBodyAccJerk-mean()-Z",-0.00462870647020455
"tBodyAccJerk-std()-X",-0.630368264434513
"tBodyAccJerk-std()-Y",-0.601275978117245
"tBodyAccJerk-std()-Z",-0.768680139539871
"tBodyGyro-mean()-X",-0.0404591982000808
"tBodyGyro-mean()-Y",-0.0711158768398755
"tBodyGyro-mean()-Z",0.0927712770018086
"tBodyGyro-std()-X",-0.721952604411164
"tBodyGyro-std()-Y",-0.699552838250048
"tBodyGyro-std()-Z",-0.651537332905511
"tBodyGyroJerk-mean()-X",-0.0937766454820733
"tBodyGyroJerk-mean()-Y",-0.0419889608326603
"tBodyGyroJerk-mean()-Z",-0.0560912847653105
"tBodyGyroJerk-std()-X",-0.734606660052562
"tBodyGyroJerk-std()-Y",-0.791374949012555
"tBodyGyroJerk-std()-Z",-0.734454412466135
"fBodyAcc-mean()-X",-0.623187172025789
"fBodyAcc-mean()-Y",-0.533704504523275
"fBodyAcc-mean()-Z",-0.676499353482365
"fBodyAcc-std()-X",-0.61122867301849
"fBodyAcc-std()-Y",-0.527827739028785
"fBodyAcc-std()-Z",-0.641101293844768
"fBodyAccJerk-mean()-X",-0.649556005805504
"fBodyAccJerk-mean()-Y",-0.621672966990173
"fBodyAccJerk-mean()-Z",-0.749835483941805
"fBodyAccJerk-std()-X",-0.644162618997256
"fBodyAccJerk-std()-Y",-0.606635188412494
"fBodyAccJerk-std()-Z",-0.786357920719715
"fBodyGyro-mean()-X",-0.669777853306077
"fBodyGyro-mean()-Y",-0.716917178919671
"fBodyGyro-mean()-Z",-0.639881620987784
"fBodyGyro-std()-X",-0.740113687051917
"fBodyGyro-std()-Y",-0.694043633595317
"fBodyGyro-std()-Z",-0.689345388559382
